,h3,verzilting,bodemdaling,wateroverlast,boerenlandvogels,peilgebieden
281,891969416bbffff,0,0,0,0,0
282,89196959b7bffff,0,0,1,0,0
283,89196948493ffff,0,1,0,0,0
284,89196bb350fffff,0,0,0,0,0
285,89196948ec3ffff,0,1,0,0,0
286,8919694a0dbffff,1,1,0,0,0
287,8919694b293ffff,0,0,0,0,0
288,8919694abdbffff,0,0,0,0,0
289,8919694802bffff,0,0,0,0,0
290,89196b8690bffff,0,0,0,0,0
291,8919694b6a3ffff,0,0,0,0,0
292,89196949e43ffff,0,0,0,0,0
293,8919694904fffff,1,0,1,0,0
294,891969412dbffff,0,1,0,0,1
295,8919694aeb3ffff,0,0,1,1,0
296,89196949d37ffff,0,0,0,1,0
297,89196948343ffff,0,1,0,1,0
298,8919694b5d3ffff,0,0,0,0,0
299,89196948e03ffff,0,1,0,1,1
300,8919694a55bffff,0,0,1,0,0
301,89196958bb3ffff,0,0,0,0,0
302,89196949c8bffff,0,1,0,1,0
303,89196948887ffff,0,0,0,0,0
304,89196948b27ffff,0,0,0,0,0
305,89196949da3ffff,0,1,0,1,0
306,8919694ac63ffff,0,0,0,0,0
307,89196941b27ffff,0,0,0,0,0
308,8919694807bffff,0,0,0,0,0
309,89196958bc7ffff,0,0,0,0,0
310,8919694892fffff,0,0,0,0,0
311,891969588a7ffff,0,0,0,0,0
312,89196949027ffff,0,0,0,0,0
313,8919694b017ffff,0,0,0,1,0
314,8919694aed7ffff,0,1,1,1,0
315,89196b84893ffff,0,0,0,0,0
316,89196958b13ffff,0,0,0,0,1
317,8919694a063ffff,1,1,0,1,0
318,89196948bdbffff,1,0,1,0,0
319,89196bb207bffff,0,0,0,0,0
320,8919694f68bffff,0,1,0,1,0
321,89196b84ca7ffff,0,0,0,0,0
322,891969488bbffff,0,0,0,0,0
323,89196bb3683ffff,0,0,0,0,0
324,89196948863ffff,0,0,0,0,0
325,891969410cbffff,0,0,0,0,0
326,89196949cb7ffff,0,1,0,1,0
327,8919694adbbffff,0,0,0,0,0
328,89196bb268fffff,0,0,0,0,0
329,89196958837ffff,0,0,0,0,1
330,8919694802fffff,0,0,0,0,0
331,8919694a54bffff,0,0,1,0,0
332,891969491c7ffff,0,0,0,0,0
333,8919694ae8bffff,0,1,1,1,0
334,891969499afffff,0,0,0,0,0
335,8919694f5bbffff,0,0,0,0,0
336,8919694166bffff,0,1,0,0,0
337,8919694a12fffff,0,0,0,1,0
338,8919694a1d3ffff,0,1,0,0,0
339,8919694b40bffff,0,1,0,1,0
340,8919694a62fffff,0,1,0,0,0
341,89196bb2207ffff,0,0,0,0,0
342,8919694b50fffff,0,1,0,1,1
343,8919694b63bffff,0,0,0,0,0
344,89196bb34c3ffff,0,0,0,1,0
345,8919694b197ffff,0,1,0,1,0
346,89196941e8bffff,0,0,0,0,1
347,8919694847bffff,0,0,0,0,1
348,89196b86da7ffff,0,0,1,0,0
349,89196949d57ffff,0,1,0,1,0
350,89196949477ffff,0,0,0,0,0
351,891969498abffff,1,0,1,0,0
352,89196949c63ffff,0,1,0,1,0
353,8919694b19bffff,0,0,0,1,0
354,8919694b42bffff,0,0,0,1,0
355,8919694b023ffff,0,0,0,1,0
356,8919694a447ffff,0,0,0,0,0
357,8919694982bffff,0,0,0,0,0
358,89196bb2697ffff,0,0,0,0,0
359,8919694a8d3ffff,0,0,0,0,0
360,8919694f5cbffff,0,1,1,1,0
361,8919694a263ffff,0,1,0,1,0
362,8919694165bffff,0,0,0,0,0
363,89196949583ffff,0,0,0,0,0
364,89196949e4fffff,0,0,0,0,0
365,89196959b47ffff,0,0,0,0,0
366,8919694810bffff,0,0,0,0,0
367,89196941053ffff,0,0,0,0,0
368,8919694a303ffff,0,1,0,1,0
369,89196949b9bffff,0,0,0,1,0
370,89196949087ffff,0,0,0,0,0
371,89196948147ffff,0,0,0,0,0
372,89196b86b4fffff,0,0,0,0,0
373,89196948e6fffff,0,0,0,0,0
374,89196949c0fffff,0,1,0,0,0
375,89196948bc3ffff,1,0,1,0,0
376,89196948c97ffff,0,1,0,0,0
377,8919694b22fffff,0,0,0,0,0
378,89196b86b93ffff,0,0,0,0,0
379,89196b869a3ffff,1,0,0,1,0
380,891969483abffff,0,1,0,1,1
381,89196949d2fffff,0,0,0,1,0
382,891969495b3ffff,0,0,0,0,0
383,89196958b07ffff,0,0,0,0,0
384,89196b86b0fffff,0,0,0,0,0
385,8919694b5cfffff,0,1,0,1,0
386,8919694f6cfffff,0,1,0,1,0
387,89196959b17ffff,0,1,0,1,0
388,89196948357ffff,0,0,0,1,0
389,89196941b7bffff,0,0,0,1,0
390,8919694a52fffff,1,0,0,0,0
391,89196948947ffff,0,0,0,0,0
392,89196941b37ffff,0,0,0,0,0
393,8919694f61bffff,0,1,0,1,0
394,8919694a473ffff,0,0,0,0,0
395,8919694a833ffff,0,0,0,0,0
396,89196b8694bffff,0,0,0,0,0
397,8919694327bffff,0,0,0,0,0
398,8919694d65bffff,0,0,0,0,0
399,89196949103ffff,0,1,0,0,0
400,89196948b2fffff,0,0,0,0,0
401,8919694994bffff,1,0,0,1,0
402,89196b86987ffff,0,0,0,0,0
403,89196949db7ffff,0,1,0,0,1
404,89196949d67ffff,0,1,0,1,0
405,89196941ecfffff,0,1,0,0,0
406,89196948a27ffff,0,0,1,0,0
407,89196948667ffff,0,0,0,0,0
408,8919694b673ffff,0,0,0,0,0
409,89196958b4fffff,0,0,0,0,0
410,89196948c8bffff,0,1,0,0,0
411,8919694e6c7ffff,0,0,0,0,0
412,8919694980bffff,0,1,0,1,0
413,8919694995bffff,1,0,0,1,0
414,8919694a583ffff,0,0,0,0,0
415,8919694f6b3ffff,0,1,0,0,0
416,8919694a377ffff,0,1,0,1,0
417,891969494abffff,0,0,0,0,0
418,89196b86b37ffff,0,0,0,0,0
419,89196949d23ffff,0,1,0,1,0
420,89196b86867ffff,0,0,0,0,0
421,8919694adcbffff,0,0,0,0,0
422,89196959b27ffff,0,1,1,0,0
423,8919694f5dbffff,0,0,0,1,0
424,8919694f417ffff,0,0,0,1,0
425,8919694ab8bffff,0,1,0,0,0
426,89196949913ffff,0,0,1,0,0
427,89196948c8fffff,0,1,0,0,0
428,8919694992fffff,0,0,1,0,0
429,8919694a6cbffff,0,1,0,0,0
430,8919694a127ffff,0,0,0,1,1
431,891969486a3ffff,0,0,0,0,0
432,89196bb3017ffff,0,0,0,0,0
433,8919694125bffff,1,0,0,0,0
434,89196948047ffff,0,0,0,0,0
435,891969484c3ffff,0,1,1,1,0
436,8919694897bffff,0,0,1,0,0
437,8919694b307ffff,0,0,0,0,0
438,891969481a7ffff,0,0,0,0,0
439,89196941457ffff,0,0,0,0,0
440,8919694f4c7ffff,0,0,1,0,0
441,89196958997ffff,0,0,1,0,0
442,89196949babffff,1,0,0,1,0
443,8919694aba3ffff,0,0,0,0,0
444,8919694a06fffff,0,1,0,1,0
445,89196958827ffff,0,0,0,0,1
446,8919694ad73ffff,0,0,0,0,0
447,89196b8680bffff,0,0,1,0,0
448,891969495d7ffff,0,0,0,0,0
449,89196948c63ffff,0,0,0,1,0
450,89196bb22a3ffff,0,0,0,0,0
451,89196948453ffff,0,0,0,1,0
452,89196948c43ffff,0,1,1,0,0
453,8919694a843ffff,0,0,0,0,0
454,891969481afffff,0,0,0,0,0
455,89196949c77ffff,0,1,0,1,0
456,8919694ab6fffff,0,1,0,0,0
457,8919694a663ffff,0,1,1,0,0
458,8919694a37bffff,0,1,0,0,0
459,8919694b553ffff,0,1,0,1,0
460,8919694a887ffff,0,0,0,0,0
461,8919694ad13ffff,0,0,0,0,0
462,8919694adc7ffff,0,0,0,0,0
463,8919694b48bffff,0,1,1,0,0
464,8919694821bffff,0,0,0,0,0
465,89196b86b73ffff,0,0,0,0,0
466,891969498d7ffff,0,1,0,1,0
467,8919694a297ffff,0,1,1,1,0
468,89196bb3617ffff,0,0,0,0,0
